"LATITUDE","LONGITUDE","CODE_POSTAL","NOM_DEPARTEMENT"
-21.365778,55.549809,97429,"LA REUNION"
-21.357544,55.517357,97410,"LA REUNION"
-21.343648,55.474301,97410,"LA REUNION"
-21.342771,55.469657,97410,"LA REUNION"
-21.341336,55.474372,97410,"LA REUNION"
-21.34115,55.461981,97410,"LA REUNION"
-21.340517,55.472816,97410,"LA REUNION"
-21.332812,55.527767,97410,"LA REUNION"
-21.3123242427,55.4936155164,97410,"La Réunion"
-21.259979,55.356165,97427,"LA REUNION"
-21.244019,55.470722,97414,"LA REUNION"
-21.222465,55.559851,97418,"LA REUNION"
-21.206923,55.35413,97425,"LA REUNION"
-21.202245,55.574563,97418,"LA REUNION"
-21.18398,55.291519,97436,"LA REUNION"
-21.14477,55.276805,97436,"LA REUNION"
-21.138319,55.47859,97413,"LA REUNION"
-21.136976,55.635419,97431,"LA REUNION"
-21.136633,55.472177,97413,"LA REUNION"
-21.134239,55.474302,97413,"LA REUNION"
-21.118074,55.731165,97470,"LA REUNION"
-21.053556,55.23334,97434,"LA REUNION"
-21.052705,55.22662,97460,"LA REUNION"
-21.050416,55.231759,97434,"LA REUNION"
-21.050411,55.231024,97434,"LA REUNION"
-21.047014,55.221366,97434,"LA REUNION"
-21.0445317522,55.3223334298,97460,"La Réunion"
-21.044449,55.220908,97434,"LA REUNION"
-21.030659,55.225311,97434,"LA REUNION"
-21.027487,55.226849,97434,"LA REUNION"
-20.949968,55.34147,97419,"LA REUNION"
-20.9329708192,55.446867167,97400,"La Réunion"
-20.901128,55.600772,97441,"LA REUNION"
-20.898386,55.467649,97400,"LA REUNION"
-20.892032,55.482246,97490,"LA REUNION"
-20.883174,55.450199,97400,"LA REUNION"
-20.877952,55.450409,97400,"LA REUNION"
-20.875674,55.45324,97400,"LA REUNION"
-20.874654,55.45027,97400,"LA REUNION"
-20.873658,55.447063,97400,"LA REUNION"
-17.552056,-149.55886,98714,"Polynésie française"
-12.782088,45.230809,97600,"MAYOTTE"
-12.7232292527,45.1181212208,97650,"Mayotte"
4.836101,-52.345475,97351,"GUYANE"
4.878454,-52.361844,97351,"GUYANE"
4.896166,-52.273872,97354,"GUYANE"
4.908754,-52.307637,97300,"GUYANE"
4.936405,-52.307261,97300,"GUYANE"
4.938029,-52.329475,97300,"GUYANE"
4.938931,-52.301736,97300,"GUYANE"
4.939103,-52.3301,97300,"GUYANE"
4.939748,-52.327942,97300,"GUYANE"
4.943166,-52.331193,97300,"GUYANE"
5.154131,-52.645368,97310,"GUYANE"
5.161495,-52.636083,97310,"GUYANE"
5.172315,-52.645651,97310,"GUYANE"
5.175826,-52.659934,97310,"GUYANE"
5.499329,-54.030155,97320,"GUYANE"
14.466614,-60.927666,97228,"MARTINIQUE"
14.46883,-60.956299,97228,"MARTINIQUE"
14.479196,-60.914433,97228,"MARTINIQUE"
14.508345,-60.92536,97228,"MARTINIQUE"
14.547267,-61.050948,97229,"MARTINIQUE"
14.549208,-61.050294,97229,"MARTINIQUE"
14.550584,-61.053524,97229,"MARTINIQUE"
14.557871,-61.051856,97229,"MARTINIQUE"
14.58663,-60.852795,97240,"MARTINIQUE"
14.6038,-61.068409,97200,"MARTINIQUE"
14.604578,-61.080698,97200,"MARTINIQUE"
14.616775,-61.045083,97200,"MARTINIQUE"
14.619705,-61.019941,97232,"MARTINIQUE"
14.6411114389,-61.0691889244,97234,"Martinique"
14.641285,-60.890885,97240,"MARTINIQUE"
14.7110039815,-61.1647565483,97221,"Martinique"
14.755049,-60.906887,97220,"MARTINIQUE"
14.756713,-60.97375,97220,"MARTINIQUE"
14.757389,-60.921868,97220,"MARTINIQUE"
14.768419,-60.900044,97220,"MARTINIQUE"
14.873806,-61.179903,97218,"MARTINIQUE"
15.864539,-61.584065,97137,"GUADELOUPE"
15.870466,-61.281586,97112,"GUADELOUPE"
15.891365,-61.221413,97140,"GUADELOUPE"
15.893597,-61.221088,97140,"GUADELOUPE"
15.9060600751,-61.2943821122,97112,"Guadeloupe"
15.992767,-61.298123,97134,"GUADELOUPE"
16.20824,-61.506159,97190,"GUADELOUPE"
16.210513,-61.498573,97190,"GUADELOUPE"
16.214176,-61.52191,97190,"GUADELOUPE"
16.216343,-61.521173,97190,"GUADELOUPE"
16.236913,-61.536014,97110,"GUADELOUPE"
16.244811,-61.322576,97118,"GUADELOUPE"
16.245313,-61.339758,97180,"GUADELOUPE"
16.246125,-61.336912,97180,"GUADELOUPE"
16.253197,-61.266916,97118,"GUADELOUPE"
16.261355,-61.804418,97116,"GUADELOUPE"
16.262147,-61.27198,97118,"GUADELOUPE"
16.277772,-61.280008,97118,"GUADELOUPE"
16.30337,-61.075101,97127,"GUADELOUPE"
16.320092,-61.782529,97126,"GUADELOUPE"
16.320143,-61.78296,97126,"GUADELOUPE"
16.339889,-61.719796,97115,"GUADELOUPE"
16.345638,-61.773588,97126,"GUADELOUPE"
16.354416,-61.734649,97115,"GUADELOUPE"
41.367661,9.184373,20169,"CORSE-DU-SUD"
41.375258,9.218105,20169,"CORSE-DU-SUD"
41.386472,9.151109,20169,"CORSE-DU-SUD"
41.387078,9.157815,20169,"CORSE-DU-SUD"
41.387933,9.169108,20169,"CORSE-DU-SUD"
41.388067,9.164421,20169,"CORSE-DU-SUD"
41.390636,9.170669,20169,"CORSE-DU-SUD"
41.392971,9.165284,20169,"CORSE-DU-SUD"
41.395542,9.232156,20169,"CORSE-DU-SUD"
41.398722,9.159383,20169,"CORSE-DU-SUD"
41.404286,9.211095,20169,"CORSE-DU-SUD"
41.404677,9.167692,20169,"CORSE-DU-SUD"
41.424259,9.191378,20169,"CORSE-DU-SUD"
41.470098,9.041463,20131,"CORSE-DU-SUD"
41.475934,9.045284,20131,"CORSE-DU-SUD"
41.483824,9.251729,20169,"CORSE-DU-SUD"
41.484111,9.240537,20169,"CORSE-DU-SUD"
41.48591,9.246401,20137,"CORSE-DU-SUD"
41.535566,9.278917,20137,"CORSE-DU-SUD"
41.536325,9.278012,20137,"CORSE-DU-SUD"
41.538076,8.859552,20100,"CORSE-DU-SUD"
41.539342,9.260641,20137,"CORSE-DU-SUD"
41.540334,8.853338,20100,"CORSE-DU-SUD"
41.540379,8.966857,20100,"CORSE-DU-SUD"
41.542399,9.290494,20137,"CORSE-DU-SUD"
41.544909,9.195923,20146,"CORSE-DU-SUD"
41.56254,9.291102,20137,"CORSE-DU-SUD"
41.565023,9.333932,20137,"CORSE-DU-SUD"
41.566275,9.24692,20137,"CORSE-DU-SUD"
41.584657,9.281072,20137,"CORSE-DU-SUD"
41.585799,9.306243,20137,"CORSE-DU-SUD"
41.588181,9.288024,20137,"CORSE-DU-SUD"
41.588952,9.283996,20137,"CORSE-DU-SUD"
41.58956,9.223699,20137,"CORSE-DU-SUD"
41.590042,9.276847,20137,"CORSE-DU-SUD"
41.590682,9.276183,20137,"CORSE-DU-SUD"
41.591188,9.277917,20137,"CORSE-DU-SUD"
41.594726,9.270033,20137,"CORSE-DU-SUD"
41.596018,9.274853,20137,"CORSE-DU-SUD"
41.601019,9.280969,20137,"CORSE-DU-SUD"
41.601883,9.276343,20137,"CORSE-DU-SUD"
41.609985,9.287208,20137,"CORSE-DU-SUD"
41.610553,9.281944,20137,"CORSE-DU-SUD"
41.614328,8.9476,20100,"CORSE-DU-SUD"
41.615811,9.258315,20137,"CORSE-DU-SUD"
41.61788,9.302597,20137,"CORSE-DU-SUD"
41.617952,8.972532,20100,"CORSE-DU-SUD"
41.620879,8.972733,20100,"CORSE-DU-SUD"
41.621021,9.345581,20137,"CORSE-DU-SUD"
41.621317,8.963738,20100,"CORSE-DU-SUD"
41.622578,8.971764,20100,"CORSE-DU-SUD"
41.626674,8.814606,20110,"CORSE-DU-SUD"
41.627359,9.293395,20137,"CORSE-DU-SUD"
41.62781,9.291171,20137,"CORSE-DU-SUD"
41.629106,9.308622,20137,"CORSE-DU-SUD"
41.631573,9.319486,20137,"CORSE-DU-SUD"
41.642363,8.971549,20100,"CORSE-DU-SUD"
41.64398,9.332913,20137,"CORSE-DU-SUD"
41.644526,8.867536,20110,"CORSE-DU-SUD"
41.656245,9.365276,20124,"CORSE-DU-SUD"
41.668713,9.306271,20137,"CORSE-DU-SUD"
41.671105,8.899769,20110,"CORSE-DU-SUD"
41.671449,8.89365,20110,"CORSE-DU-SUD"
41.671761,8.894143,20110,"CORSE-DU-SUD"
41.672185,8.891536,20110,"CORSE-DU-SUD"
41.674335,8.903791,20110,"CORSE-DU-SUD"
41.674352,9.299457,20137,"CORSE-DU-SUD"
41.675099,8.89719,20110,"CORSE-DU-SUD"
41.67528,8.893947,20110,"CORSE-DU-SUD"
41.676402,8.907394,20110,"CORSE-DU-SUD"
41.678202,8.910666,20110,"CORSE-DU-SUD"
41.678453,9.332184,20137,"CORSE-DU-SUD"
41.678633,8.917427,20110,"CORSE-DU-SUD"
41.679694,8.912445,20110,"CORSE-DU-SUD"
41.68049,8.952454,20110,"CORSE-DU-SUD"
41.682159,9.374823,20124,"CORSE-DU-SUD"
41.694301,9.370606,20144,"CORSE-DU-SUD"
41.699899,8.842657,20113,"CORSE-DU-SUD"
41.703601,9.351725,20135,"CORSE-DU-SUD"
