"ID_LOGEMENT","ID_HEBERGEMENT","TYPE","STATUT","DATE_CREATION","TARIF","NBR_PERSONNE_CONSEILLE","CAPACITE","NBR_PLACE_ADULTE","NBR_PLACE_ENFANT","TARIF_ADULTE","TARIF_ENFANT"
9,9,"Camping","Actif","10/10/2012",46.4730844087899,6,46.4730844087899,0,0,0,0
10,10,"Camping","Actif","10/10/2012",60.1495313830674,6,60.1495313830674,0,0,0,0
11,11,"Camping","Actif","10/10/2012",54.2530998587608,6,54.2530998587608,0,0,0,0
12,12,"Camping","Actif","10/10/2012",40.1020628027618,6,40.1020628027618,0,0,0,0
13,13,"Camping","Actif","10/10/2012",98.7139125168324,6,98.7139125168324,0,0,0,0
14,14,"Camping","Actif","10/10/2012",99.1970052197576,6,99.1970052197576,0,0,0,0
15,15,"Camping","Actif","10/10/2012",31.4294343069196,6,31.4294343069196,0,0,0,0
16,16,"Camping","Actif","10/10/2012",64.8666558228433,6,64.8666558228433,0,0,0,0
24,24,"Camping","Actif","10/10/2012",76.2663369625807,6,76.2663369625807,0,0,0,0
25,25,"Camping","Actif","10/10/2012",58.4833822585642,6,58.4833822585642,0,0,0,0
40,40,"Camping","Actif","10/10/2012",91.5320706367493,6,91.5320706367493,0,0,0,0
47,47,"Camping","Actif","10/10/2012",64.7219900041819,6,64.7219900041819,0,0,0,0
48,48,"Camping","Actif","10/10/2012",24.4091893173754,6,24.4091893173754,0,0,0,0
49,49,"Camping","Actif","10/10/2012",95.1143362000585,6,95.1143362000585,0,0,0,0
50,50,"Camping","Actif","10/10/2012",54.0664479695261,6,54.0664479695261,0,0,0,0
51,51,"Camping","Actif","10/10/2012",93.5158095136285,6,93.5158095136285,0,0,0,0
52,52,"Camping","Actif","10/10/2012",21.9570540823042,6,21.9570540823042,0,0,0,0
53,53,"Camping","Actif","10/10/2012",60.1571524888277,6,60.1571524888277,0,0,0,0
54,54,"Camping","Actif","10/10/2012",31.9122217968106,6,31.9122217968106,0,0,0,0
55,55,"Camping","Actif","10/10/2012",47.2941998392344,6,47.2941998392344,0,0,0,0
56,56,"Camping","Actif","10/10/2012",22.2022468782961,6,22.2022468782961,0,0,0,0
57,57,"Camping","Actif","10/10/2012",22.3853437416255,6,22.3853437416255,0,0,0,0
58,58,"Camping","Actif","10/10/2012",32.2060357034206,6,32.2060357034206,0,0,0,0
59,59,"Camping","Actif","10/10/2012",53.0372684262693,6,53.0372684262693,0,0,0,0
60,60,"Camping","Actif","10/10/2012",86.7206899635494,6,86.7206899635494,0,0,0,0
61,61,"Camping","Actif","10/10/2012",72.0231146737933,6,72.0231146737933,0,0,0,0
62,62,"Camping","Actif","10/10/2012",69.9497019685805,6,69.9497019685805,0,0,0,0
63,63,"Camping","Actif","10/10/2012",88.7096512131393,6,88.7096512131393,0,0,0,0
81,81,"Camping","Actif","10/10/2012",51.0275130346417,6,51.0275130346417,0,0,0,0
82,82,"Camping","Actif","10/10/2012",36.0750794410706,6,36.0750794410706,0,0,0,0
83,83,"Camping","Actif","10/10/2012",30.8105184696615,6,30.8105184696615,0,0,0,0
84,84,"Camping","Actif","10/10/2012",25.7833676226437,6,25.7833676226437,0,0,0,0
